 047556,7/8/2015	23:38:23,23:38:33,11,SLNGE,000,18.2,8.3,9.5,000
 047567,7/8/2015	23:38:34,23:38:35,2,WHEEL,002,00.0,8.8,9.8,000
 047569,7/8/2015	23:38:36,23:39:09,34,SLNGE,017,50.0,8.5,10.8,017
 047603,7/8/2015	23:39:10,23:39:16,7,WHEEL,007,00.0,6.0,10.8,000
 047610,7/8/2015	23:39:17,23:39:38,22,SLNGE,003,22.7,6.1,10.7,003
 047632,7/8/2015	23:39:39,23:44:09,271,WHEEL,257,00.0,8.5,9.5,000
 047903,7/8/2015	23:44:10,23:44:31,22,SLNGE,037,59.1,9.1,13.2,037
 047925,7/8/2015	23:44:32,23:57:12,761,WHEEL,691,00.0,8.5,9.8,000
 048686,7/8/2015	23:57:13,23:57:35,23,SLNGE,023,26.1,7.9,16.4,023
 048709,7/8/2015	23:57:36,00:03:14,339,WHEEL,343,00.0,8.5,17.0,000
 049048,7/9/2015	00:03:15,00:03:30,16,SLNGE,034,75.0,9.1,15.6,034
 049064,7/9/2015	00:03:31,00:03:34,4,TFODA,0,00.0,10.3,20.4,003
 049068,7/9/2015	00:03:35,00:03:40,6,SLNGE,012,50.0,6.8,20.0,012
 049074,7/9/2015	00:03:41,00:06:06,146,WHEEL,130,00.0,8.4,11.8,000
 049220,7/9/2015	00:06:07,00:06:22,16,SLNGE,040,56.3,7.6,10.8,040
 049236,7/9/2015	00:06:23,00:06:59,37,EFODA,0.065,43.2,13.6,19.6,008
 049273,7/9/2015	00:07:00,00:07:28,29,SLNGE,000,31.0,13.6,19.4,000
 049302,7/9/2015	00:07:29,00:08:58,90,TFODA,0,78.9,13.9,19.7,001
 049392,7/9/2015	00:08:59,00:09:24,26,SLNGE,009,26.9,7.5,21.3,009
 049418,7/9/2015	00:09:25,00:10:12,48,TFODA,0,77.1,13.5,19.7,003
 049466,7/9/2015	00:10:13,00:10:49,37,SLNGE,046,59.5,6.4,11.4,046
 049503,7/9/2015	00:10:50,00:12:51,122,IHOME,13.969,00.0,9.5,7.3,000
 049625,7/9/2015	00:12:52,00:13:03,12,SLNGE,016,08.3,9.6,9.2,016
 049637,7/9/2015	00:13:04,00:21:43,520,WHEEL,488,00.0,8.5,11.1,000
 050157,7/9/2015	00:21:44,00:22:06,23,SLNGE,050,39.1,8.1,15.1,050
 050180,7/9/2015	00:22:07,00:22:57,51,WHEEL,049,00.0,5.8,6.8,000
 050231,7/9/2015	00:22:58,00:23:21,24,SLNGE,000,41.7,5.8,6.8,000
 050255,7/9/2015	00:23:22,00:27:27,246,WHEEL,229,00.0,7.3,7.7,000
 050501,7/9/2015	00:27:28,00:27:49,22,SLNGE,038,54.5,7.6,10.5,038
 050523,7/9/2015	00:27:50,00:32:08,259,WHEEL,572,00.0,7.2,9.2,000
 050782,7/9/2015	00:32:09,00:32:09,1,TFODA,0,00.0,8.8,8.5,000
 050783,7/9/2015	00:32:10,00:37:25,316,WHEEL,572,00.0,8.2,12.2,000
 051099,7/9/2015	00:37:26,00:37:54,29,SLNGE,020,69.0,8.2,12.4,020
 051128,7/9/2015	00:37:55,00:39:37,103,WHEEL,093,00.0,7.0,11.3,000
 051231,7/9/2015	00:39:38,00:39:50,13,SLNGE,011,84.6,8.2,9.6,011
 051244,7/9/2015	00:39:51,00:44:33,283,TFODA,0,70.0,13.2,19.8,023
 051527,7/9/2015	00:44:34,00:44:59,26,SLNGE,031,15.4,7.7,22.7,031
 051553,7/9/2015	00:45:00,00:45:03,4,EFODA,0.011,100.0,9.8,27.3,006
 051557,7/9/2015	00:45:04,00:45:54,51,SLNGE,132,21.6,4.8,7.6,132
 051608,7/9/2015	00:45:55,00:47:05,71,WHEEL,061,00.0,5.3,10.3,000
 051679,7/9/2015	00:47:06,00:47:26,21,SLNGE,024,38.1,5.4,14.6,024
 051700,7/9/2015	00:47:27,00:47:27,1,TFODA,0,100.0,0.5,26.5,000
 051701,7/9/2015	00:47:28,00:47:52,25,SLNGE,063,68.0,9.5,19.2,063
 051726,7/9/2015	00:47:53,00:48:26,34,WHEEL,031,00.0,10.3,9.0,000
 051760,7/9/2015	00:48:27,00:49:06,40,SLNGE,004,05.0,10.2,9.0,004
 051800,7/9/2015	00:49:07,00:49:34,28,IHOME,13.986,00.0,6.5,9.5,000
 051828,7/9/2015	00:49:35,00:49:43,9,SLNGE,002,00.0,6.8,9.6,002
 051837,7/9/2015	00:49:44,01:04:57,914,WHEEL,835,00.0,7.5,12.6,000
 052751,7/9/2015	01:04:58,01:05:18,21,SLNGE,000,04.8,6.5,14.8,000
 052772,7/9/2015	01:05:19,01:09:10,232,WHEEL,220,00.0,6.5,14.8,000
 053004,7/9/2015	01:09:11,01:09:50,40,SLNGE,073,22.5,5.5,18.2,073
 053044,7/9/2015	01:09:51,01:14:33,283,WHEEL,257,00.0,6.5,11.8,000
 053327,7/9/2015	01:14:34,01:14:53,20,SLNGE,006,40.0,6.6,12.0,006
 053347,7/9/2015	01:14:54,01:14:54,1,TFODA,0,100.0,8.5,22.3,000
 053348,7/9/2015	01:14:55,01:18:15,201,LLNGE,204,08.0,5.7,13.8,204
 053549,7/9/2015	01:18:16,01:21:28,193,TFODA,0,63.2,13.9,19.9,009
 053742,7/9/2015	01:21:29,01:22:19,51,SLNGE,029,17.6,6.9,23.8,029
 053793,7/9/2015	01:22:20,01:24:52,153,IHOME,14.109,00.0,6.0,15.0,000
 053946,7/9/2015	01:24:53,01:25:02,10,SLNGE,006,10.0,6.3,14.5,006
 053956,7/9/2015	01:25:03,01:35:19,617,WHEEL,558,00.0,9.0,9.4,000
 054573,7/9/2015	01:35:20,01:35:38,19,SLNGE,018,63.2,8.3,14.2,018
 054592,7/9/2015	01:35:39,01:37:33,115,TFODA,0,58.3,13.5,20.1,006
 054707,7/9/2015	01:37:34,01:40:59,206,LLNGE,036,03.4,6.9,23.1,036
 054913,7/9/2015	01:41:00,01:45:22,263,WHEEL,218,00.0,1.8,6.3,000
 055176,7/9/2015	01:45:23,01:45:44,22,SLNGE,000,09.1,1.8,6.3,000
 055198,7/9/2015	01:45:45,01:52:37,413,WHEEL,360,00.0,7.9,11.7,000
 055611,7/9/2015	01:52:38,01:55:07,150,LLNGE,089,05.3,6.6,21.9,089
 055761,7/9/2015	01:55:08,01:59:50,283,WHEEL,253,00.0,2.0,10.8,000
 056044,7/9/2015	01:59:51,02:00:38,48,SLNGE,032,14.6,5.8,19.6,032
 056092,7/9/2015	02:00:39,02:02:11,93,WHEEL,083,00.0,5.5,12.3,000
 056185,7/9/2015	02:02:12,02:02:28,17,SLNGE,023,58.8,6.0,16.3,023
